Short Frame	_ws.short
Extreme Mesh Path Selection Bind Reply	extrememesh_ps_brep
Extreme Mesh Path Selection Bind Announcement	extrememesh_ps_bann
Extreme Mesh Path Selection Bind Removed	extrememesh_ps_bred
Extreme Mesh Path Selection Status Request	extrememesh_ps_sreq
Extreme Mesh Path Selection Status Reply	extrememesh_ps_srep
Extreme Mesh Path Selection Path Request	extrememesh_ps_preq
Extreme Mesh Path Selection Path Reply	extrememesh_ps_prep
Extreme Mesh Path Selection Path Error	extrememesh_ps_perr
Extreme Mesh Path Selection Path Reset	extrememesh_ps_prst
Extreme Mesh Path Selection Proxy Remove	extrememesh_ps_prem
Extreme Mesh Path Selection Trace Path	extrememesh_ps_trace
Extreme Mesh Path Selection Proxy Error	extrememesh_ps_prer
F1 Application Protocol	f1ap
F5 Ethernet Trailer Protocol	f5ethtrailer
F5 Ethernet trailer provider - Noise	f5ethtrailer.provider.noise
F5 Ethernet Trailer Protocol - TLS Provider	f5ethtrailer.tls
F5 Capture Information	f5fileinfo
(Facebook) Zero Protocol	fb_zero
Fibre Channel	fc
Fibre Channel Delimiters	fcsof
Fc00 CryptoAuth	fc00
Fibre Channel Common Transport	fcct
Fibre Channel Name Server	fcdns
FC Extended Link Svc	fcels
FC Fabric Configuration Server	fcs
Fibre Channel Fabric Zone Server	fcfzs
FastCGI	fcgi
FCIP	fcip
Fibre Channel over Ethernet	fcoe
Fibre Channel over Infiniband	fcoib
Fibre Channel Protocol for SCSI	fcp
Fibre Channel Single Byte Command	fcsb3
Fibre Channel Security Protocol	fcsp
Fibre Channel SW_ILS	swils
Fiber Distributed Data Interface	fddi
Foundry Discovery Protocol	fdp
Far End Failure Detection	fefd
Sony FeliCa	felica
FOUNDATION Fieldbus	ff
File	file
BLF File Format	file-blf
BLF Ethernet Status	blf-ethernet-status
DLT File Format	file-dlt
PCAP File Format	file-pcap
DCE DFS File Exporter	fileexp
finger	finger
FCoE Initialization Protocol	fip
Financial Information eXchange Protocol	fix
DCE DFS Fileset Location Server	fldb
FlexNet	flexnet
FlexRay Protocol	flexray
NSN FLIP	flip
File Mapping Protocol	fmp
File Mapping Protocol Notify	fmp_notify
Flight Message Transfer Protocol (FMTP)	fmtp
Forwarding and Control Element Separation Protocol	forces
FortiGate Cluster Protocol - HeartBeat	fortinet_fgcp_hb
Fortinet Single Sign On	fortinet_sso
FP	fp
FP Hint	fp_hint
Huawei FP Multiplexing Header	fp_mux
IEEE 802.3br Frame Preemption Protocol	fpp
Frame Relay	fr
Fractal Generator Protocol	fractalgeneratorprotocol
Frame	frame
Packet comments	pkt_comment
System Call	syscall
ISO 8571 FTAM	ftam
FTDI FT USB	ftdi-ft
FTDI Multi-Protocol Synchronous Serial Engine	ftdi-mpsse
File Transfer Protocol (FTP)	ftp
FTP Data	ftp-data
FTServer Operations	ftserver
Checkpoint FW-1	fw1
G.723	g723
Gadu-Gadu Protocol	gadu-gadu
GBCS GBZ	gbcs_gbz
GBCS Message	gbcs_message
GBCS Tunnel	gbcs_tunnel
GCSNA	gcsna
GDB Remote Serial Protocol	gdb
Firebird SQL Database Remote Protocol	gdsdb
Generic Data Transfer Protocol	gdt
Gearman Protocol	gearman
Cisco GED-125 Protocol	ged125
Graylog Extended Log Format	gelf
Generic Network Virtualization Encapsulation	geneve
GeoNetworking	gnw
Generic Framing Procedure	gfp
Compuserve GIF	image-gif
giFT Internet File Transfer	gift
General Inter-ORB Protocol	giop
Coseventcomm Dissector Using GIOP API	giop-coseventcomm
Cosnaming Dissector Using GIOP API	giop-cosnaming
Gias Dissector Using GIOP API	giop-gias
Parlay Dissector Using GIOP API	giop-parlay
Tango Dissector Using GIOP API	giop-tango
Git Smart Protocol	git
Gateway Load Balancing Protocol	glbp
Glow	glow
GlusterFS Callback	glusterfs.cbk
Gluster CLI	gluster.cli
Gluster Dump	gluster.dump
Gluster Daemon	glusterd
Gluster Daemon Management	glusterd.mgmt
Gluster Daemon Brick Operations	glusterd.brick
Gluster Daemon Friend Operations	glusterd.friend
GlusterFS Handshake	glusterfs.hndsk
Gluster Portmap	gluster.pmap
GlusterFS	glusterfs
Gigamon Header	gmhdr
Gigamon Trailer	gmtrailer
GEO-Mobile Radio (1) BCCH	gmr1.bcch
GEO-Mobile Radio (1) Common	gmr1.common
GEO-Mobile Radio (1) DTAP	gmr1.dtap
GEO-Mobile Radio (1) RACH	gmr1.rach
GEO-Mobile Radio (1) RR	gmr1.rr
GEO-Mobile Radio (1) CCCH	gmr1.ccch
GARP Multicast Registration Protocol	gmrp
Gnutella Protocol	gnutella
GOOSE	goose
R-GOOSE	r-goose
Gopher	gopher
GPEF	gpef
GPRS CDR	gprscdr
GQUIC (Google Quick UDP Internet Connections)	gquic
Generic Routing Encapsulation	gre
Huawei GRE bonding	grebonding
GRPC Message	grpc
GSM A-I/F BSSMAP	gsm_a.bssmap
GSM A-I/F COMMON	gsm_a
3GPP COMMON	3gpp
GSM A-I/F DTAP	gsm_a.dtap
GSM A-I/F GPRS Mobility and Session Management	gsm_a.gm
GSM A-I/F RP	gsm_a.rp
GSM A-I/F Radio Resource Management	gsm_a.rr
GSM CCCH	gsm_a.ccch
GSM RACH	gsm_a.rach
GSM SACCH	gsm_a.sacch
GSM EC-CCCH	gsm_a.ec_ccch
BSS LCS Assistance Protocol	bsslap
Lb-I/F BSSMAP LE	gsm_bssmap_le
GSM Cell Broadcast Channel	gsm_cbch
GSM L2R Character Oriented Protocol (L2RCOP)	gsm_l2rcop
GSM Mobile Application	gsm_map
GSM-R User-to-User Signaling	gsm-r-uus1
Radio Link Control, Medium Access Control, 3GPP TS44.060	gsm_rlcmac
GSM SIM 11.11	gsm_sim
GSM SMS TPDU (GSM 03.40)	gsm_sms
GSM Short Message Service User Data	gsm_sms_ud
GSM Um Interface	gsm_um
GSM Radio Link Protocol (RLP)	gsm_rlp
GSM Radiotap	gsmtap
GSMTAP libosmocore logging	gsmtap_log
GSS-API Generic Security Service Application Program Interface	gss-api
Osmocom General Subscriber Update Protocol	gsup
GPRS Tunneling Protocol	gtp
GPRS Tunneling Protocol Prime	gtpprime
NRUP	nrup
GPRS Tunneling Protocol V2	gtpv2
GigE Vision Control Protocol	gvcp
GARP VLAN Registration Protocol	gvrp
GigE Vision Streaming Protocol	gvsp
Sinec H1 Protocol	h1
ITU-T Recommendation H.223	h223
ITU-T Recommendation H.223 (Bitswapped)	h223_bitswapped
H.224	h224
H323-MESSAGES	h225
H.225 RAS	h225_ras
H235-SECURITY-MESSAGES	h235
MULTIMEDIA-SYSTEM-CONTROL	h245
H.248 MEGACO	h248
H.248 3GPP	h248.3gpp
H.248.7	h248.an
H.248 Annex C	h248.annexc
H.248 Annex E	h248e
H.248.10	h248.chp
H.248.2	h248.2
ITU-T Recommendation H.261	h261
ITU-T Recommendation H.263 RTP Payload header (RFC4629)	h263p
ITU-T Recommendation H.263	h263
H.264	h264
H.265	h265
H.282 Remote Device Control	rdc
H.283 Logical Channel Transport	lct
H.323	h323
H.450 Supplementary Services	h450
H.450 Remote Operations Apdus	h450.ros
H.460 Supplementary Services	h460
H.501 Mobility	h501
HART_IP Protocol	hart_ip
Hazelcast Wire Protocol	hzlcst
Palo Alto Heartbeat Backup	hbbak
Bluetooth HCI H1	hci_h1
Bluetooth HCI H4	hci_h4
Bluetooth Linux Monitor Transport	hci_mon
Bluetooth HCI USB Transport	hci_usb
Hummingbird NFS Daemon	hclnfsd
Hotline Command-Response Transaction protocol	hcrt
High bandwidth Digital Content Protection	hdcp
High bandwidth Digital Content Protection version 2	hdcp2
HDFS Protocol	hdfs
HDFSDATA Protocol	hdfsdata
High-Definition Multimedia Interface	hdmi
Host IP Configuration Protocol	hicp
Host Identity Protocol	hip
HiPerConTracer Trace Service	hipercontracer
Harman HiQnet	hiqnet
High-Speed LAN Instrument Protocol	hislip
Health Level Seven	hl7
UTRAN Iuh interface HNBAP signalling	hnbap
HomePlug protocol	homeplug
HomePlug AV protocol	homeplug-av
HomePNA, wlan link local tunnel	hpna
HP encapsulated remote mirroring	hp_erm
HP Extended Local-Link Control	hpext
HPFEEDS HoneyPot Feeds Protocol	hpfeeds
HP Switch Protocol	hpsw
HP NIC Teaming Heartbeat	hpteam
High Speed Fahrzeugzugang	hsfz
High-speed SECS Message Service Protocol	hsms
High-availability Seamless Redundancy (IEC62439 Part 3 Chapter 5)	hsr
HSR/PRP Supervision (IEC62439 Part 3)	hsr_prp_supervision
Cisco Hot Standby Router Protocol	hsrp
Hypertext Transfer Protocol	http
Simple Service Discovery Protocol	ssdp
HyperText Transfer Protocol 2	http2
Hypertext Transfer Protocol Version 3	http3
HTML Form URL Encoded	urlencoded-form
HyperSCSI	hyperscsi
Inter-Integrated Circuit	i2c
I2C Events	i2c_event
I2C Data	i2c_data
Inter-Access-Point Protocol	iapp
Inter-Asterisk eXchange v2	iax2
Infiniband Sockets Direct Protocol	infiniband_sdp
iCall Communication Protocol	icall
Internet Content Adaptation Protocol	icap
Internet Communications Engine Protocol	icep
DCE DFS ICL RPC	icl_rpc
Internet Control Message Protocol	icmp
Internet Control Message Protocol v6	icmpv6
Internet Cache Protocol	icp
ICQ Protocol	icq
ID3v2	id3v2
X.519 Internet Directly Mapped Protocol	idmp
Ilda Digital Network Protocol	idn
Internetwork Datagram Protocol	idp
ISO/IEC 10747 (1993): Inter Domain Routing Protocol 	idrp
IEC 60870-5-101	iec60870_101
IEC 60870-5-104	iec60870_104
IEC 60870-5-103	iec60870_5_103
IEC 60870-5-101/104 ASDU	iec60870_asdu
IEEE1609dot2	ieee1609dot2
IEEE 1905.1a	ieee1905
IEEE 802.11 wireless LAN aggregate frame	wlan_aggregate
IEEE 802.11 wireless LAN	wlan
IEEE 802.11 wireless LAN (Centrino)	wlan_centrino
IEEE 802.11 wireless LAN extension frame	wlan_ext
Prism capture header	prism
802.11 radio information	wlan_radio
AVS WLAN Capture header	wlancap
IEEE 802.15.4 Low-Rate Wireless PAN	wpan
IEEE 802.15.4 Low-Rate Wireless PAN non-ASK PHY	wpan-nonask-phy
ZBOSS IEEE 802.15.4 dump	wpan-zboss
IEEE 802.15.4 Low-Rate Wireless PAN TAP	wpan-tap
IEEE 802.1ah	ieee8021ah
IEEE 802.1ad	ieee8021ad
802.1CB Redundancy Tag	ieee8021cb
IEEE802a OUI Extended Ethertype	ieee802a
iFCP	ifcp
Internet Group membership Authentication Protocol	igap
Internet Group Management Protocol	igmp
Cisco Interior Gateway Routing Protocol	igrp
OMA Internal Location Protocol	ilp
Internet Message Access Protocol	imap
Internet Message Format	imf
Intelligent Network Application Protocol	inap
InfiniBand	infiniband
InfiniBand Link	infiniband_link
Mellanox EoIB Encapsulation Header	infiniband.eoib
Interlink Protocol	interlink
Internet Protocol Version 4	ip
IP Option - End of Options List (EOL)	ip.options.eol
IP Option - No-Operation (NOP)	ip.options.nop
IP Option - Security	ip.options.security
IP Option - Loose Source Route	ip.options.route
IP Option - Time Stamp	ip.options.timestamp
IP Option - Extended Security	ip.options.ext_security
IP Option - Commercial Security	ip.options.cipso
IP Option - Record Route	ip.options.record_route
IP Option - Stream ID	ip.options.sid
IP Option - Strict Source Route	ip.options.source_route
IP Option - MTU Probe	ip.options.mtu_probe
IP Option - MTU Reply	ip.options.mtu_reply
IP Option - Traceroute	ip.options.traceroute
IP Option - Router Alert	ip.options.routeralert
IP Option - Selective Directed Broadcast	ip.options.sdb
IP Option - Quick-Start	ip.options.qs
GSM over IP protocol as used by ip.access	gsm_ipa
GSM over IP ip.access CCM sub-protocol	ipaccess
International Passenger Airline Reservation System	ipars
PPP IP Control Protocol	ipcp
IP Addresses (deprecated)	ipcp.opt.addrs
IP Compression Protocol	ipcp.opt.compress
IP Address	ipcp.opt.addr
Mobile Node's Home IP Address	ipcp.opt.mobileipv4
Primary DNS Server IP Address	ipcp.opt.pri_dns
Primary NBNS Server IP Address	ipcp.opt.pri_nbns
Secondary DNS Server IP Address	ipcp.opt.sec_dns
Secondary NBNS Server IP Address	ipcp.opt.sec_nbns
Profiles (RFC3241)	ipcp.opt.rohc.profile_bytes
RTP compression (RFC2508)	ipcp.opt.iphc.rtp_compress
Enhanced RTP compression (RFC3545)	ipcp.opt.iphc.enhanced_rtp_compress
Negotiating header compression (RFC3545)	ipcp.opt.iphc.neghdrcomp
IP Device Control (SS7 over IP)	ipdc
IPDR	ipdr
SAMIS-TYPE-1 Record	ipdr_samis_type_1
iPerf2 Packet Data	iperf2
iPerf3 Speed Test	iperf3
IP Over FC	ipfc
CRTP	crtp
CRTP (CUDP 16)	crtp_cudp16
CRTP (CUDP 8)	crtp_cudp8
CRTP (CS)	crtp_cs
CRTP (CNTCP)	crtp_cntcp
Intelligent Platform Management Interface	ipmi
Intelligent Platform Management Bus	ipmb
Keyboard Controller Style Interface	kcs
Serial Terminal Mode Interface	tmode
Intelligent Platform Management Interface (Session Wrapper)	ipmi_session
IPMI Trace Data Collection	ipmi.trace
Solaris IPNET	ipnet
IP over Infiniband	ipoib
IPOS Kernel Packet Protocol	ipos
Internet Printing Protocol	ipp
Internet Printing Protocol Over USB	ippusb
Authentication Header	ah
Encapsulating Security Payload	esp
IP Payload Compression	ipcomp
IPSICTL	ipsictl
Internet Protocol Version 6	ipv6
IPv6 Hop-by-Hop Option	ipv6.hopopts
Routing Header for IPv6	ipv6.routing
IPv6 Routing Type - Source Route	ipv6.routing.type.rt0
IPv6 Routing Type - Type 2	ipv6.routing.type.mipv6
IPv6 Routing Type - RPL Source Route	ipv6.routing.type.mipv6
IPv6 Routing Types - Segment Routing	ipv6.routing.type.srh
IPv6 Routing Types - Compact Routing	ipv6.routing.type.crh
Fragment Header for IPv6	ipv6.fraghdr
Destination Options for IPv6	ipv6.dstopts
PPP IPv6 Control Protocol	ipv6cp
Interface Identifier	ipv6cp.opt.interface_identifier
IPv6 compression	ipv6cp.opt.compress
IP Virtual Services Sync Daemon	ipvs
Internetwork Packet eXchange	ipx
Sequenced Packet eXchange	spx
IPX Routing Information Protocol	ipxrip
NetWare Serialization Protocol	nw_serial
IPX Message	ipxmsg
Service Advertisement Protocol	ipxsap
IPX WAN	ipxwan
Internet Relay Chat	irc
Client To Client Protocol	irc.ctcp
Internet Security Association and Key Management Protocol	isakmp
iSCSI	iscsi
ISDN	isdn
ISDN supplementary services	isdn_sup
iSCSI Extensions for RDMA	iser
Intelligent Service Interface	isi
ISO 10589 ISIS InTRA Domain Routeing Information Exchange Protocol	isis
ISO 10589 ISIS Complete Sequence Numbers Protocol Data Unit	isis.csnp
ISIS HELLO	isis.hello
ISO 10589 ISIS Link State Protocol Data Unit	isis.lsp
ISO 10589 ISIS Partial Sequence Numbers Protocol Data Unit	isis.psnp
Cisco ISL	isl
ISMACryp Protocol	ismacryp
ISMACryp Protocol v1.1	ismacryp_v11
ISMACryp Protocol v2.0	ismacryp_v20
InterSwitch Message Protocol	ismp
iSNS	isns
ISO10681 Protocol	iso10681
ISO/IEC 14443	iso14443
ISO15765 Protocol	iso15765
ISO/IEC 7816	iso7816
ISO/IEC 7816-3	iso7816.atr
ISO 8583-1	iso8583
Bluetooth ISO Data	bthci_iso_data
ISObus	isobus
ISObus Virtual Terminal	isobus.vt
ISDN User Part	isup
Internal TDM	itdm
Intelligent Transport Systems	its
ITS message - DENM	its.message.denm
ITS message - DENMv1	its.message.denmv1
ITS message - CAM	its.message.cam
ITS message - CAMv1	its.message.camv1
ITS message - SPATEMv1	its.message.spatemv1
ITS message - SPATEM	its.message.spatem
ITS message - MAPEMv1	its.message.mapemv1
ITS message - MAPEM	its.message.mapem
ITS message - IVIMv1	its.message.ivimv1
ITS message - IVIM	its.message.ivim
ITS message - EVRSR	its.message.evrsr
ITS message - SREM	its.message.srem
ITS message - SSEM	its.message.ssem
ITS message - RTCMEMv1	its.message.rtcmemv1
ITS message - RTCMEM	its.message.rtcmem
ITS message - EVCSN	its.message.evcsn
ITS message - TISTPG	its.message.tistpg
ITS message - CPM	its.message.cpm
ITS message - VAM	its.message.vam
ITS message - IMZM	its.message.imzm
DSRC Addition Grp C (EU)	dsrc.addgrpc
ISDN Q.921-User Adaptation Layer	iua
IuUP	iuup
iWARP Direct Data Placement and Remote Direct Memory Access Protocol	iwarp_ddp_rdmap
Ixia Trailer	ixiatrailer
ixveriwave	ixveriwave
SAE J1939	j1939
Java Debug Wire Protocol	jdwp
JPEG File Interchange Format	image-jfif
Juniper Packet Mirror	jmirror
RFC 2435 JPEG	jpeg
JavaScript Object Notation	json
JSON 3GPP	json.3gpp
Juniper	juniper
JXTA P2P	jxta
JXTA Message	jxta.message
K12xx	k12
Kerberos Administration	kadm5
Kafka	kafka
Kontiki Delivery Protocol	kdp
Kismet Drone/Server Protocol	kdsp
Kerberos	kerberos
Kingfisher	kf
Kerberized Internet Negotiation of Key	kink
Kismet Client/Server Protocol	kismet
Kernel Lock Manager	klm
kNet Protocol	knet
KNX/IP	kip
MS Kpasswd	kpasswd
KPM V2	kpm-v2
Kerberos v4	krb4
DCE/RPC Kerberos V	krb5rpc
Kyoto Tycoon Protocol	kt
Layer 1 Event Messages	data-l1-events
Layer 2 Tunneling Protocol	l2tp
LACP	lacp
LANforge Traffic Generator	lanforge
Link Access Procedure Balanced (LAPB)	lapb
Link Access Procedure Balanced Ethernet (LAPBETHER)	lapbether
Link Access Procedure, Channel D (LAPD)	lapd
Link Access Procedure, Channel Dm (LAPDm)	lapdm
Laplink	laplink
Link Access Procedure, Satellite channel (LAPSat)	lapsat
Local Area Transport	lat
29West Protocol	29west
LBMC Protocol	lbmc
LBMPDM Protocol	lbmpdm
LBMPDM over TCP Protocol	lbmpdm_tcp
LBM Topic Resolution Protocol	lbmr
LBM Stateful Resolution Service Protocol	lbmsrs
LBT Reliable Multicast Protocol	lbtrm
LBT Reliable Unicast Protocol	lbtru
LBT TCP Protocol	lbttcp
PPP Link Control Protocol	lcp
Vendor Specific	lcp.opt.vendor
Maximum Receive Unit	lcp.opt.mtu_bytes
Async Control Character Map	lcp.opt.asyncmap_bytes
Authentication Protocol	lcp.opt.auth_protocol_bytes
Quality Protocol	lcp.opt.quality_protocol_bytes
Magic Number	lcp.opt.magic_number_bytes
Link Quality Monitoring	lcp.opt.linkqualmon
Protocol Field Compression	lcp.opt.field_compress
Address and Control Field Compression	lcp.opt.addr_field_compress
FCS Alternatives	lcp.opt.fcs_alternatives_bytes
Self Describing Pad	lcp.opt.self_desc_pad
Numbered Mode	lcp.opt.numbered_mode
Callback	lcp.opt.callback
Compound Frames (Deprecated)	lcp.opt.compound_frames
Nominal Data Encapsulation (Deprecated)	lcp.opt.nomdataencap
Multilink MRRU	lcp.opt.multilink_mrru
Multilink Short Sequence Number Header	lcp.opt.multilink_ssnh
Multilink Endpoint Discriminator	lcp.opt.multilink_ep_disc
DCE Identifier	lcp.opt.dce_identifier
Multi Link Plus Procedure	lcp.opt.multilink_pp
Link Discriminator for BACP	lcp.opt.link_discrim_bytes
Authentication Option	lcp.opt.auth
Consistent Overhead Byte Stuffing (COBS)	lcp.opt.cobs
Prefix Elision	lcp.opt.prefix_elision
Multilink header format	lcp.opt.multilink_hdr_fmt
Internationalization	lcp.opt.internationalization
Simple Data Link on SONET/SDH	lcp.opt.sonet_sdh
LCS Application Protocol	lcsap
LDAC Codec	ldac
Lightweight Directory Access Protocol	ldap
Connectionless Lightweight Directory Access Protocol	cldap
Label Distribution Protocol	ldp
Local Download Sharing Service	ldss
Landis & Gyr Telegyr 8979	lg8979
LGE Monitor	lge_monitor
5G Lawful Interception	5gli
LIN Protocol	lin
Link 16	link16
ENEA LINX	linx
ENEA LINX over TCP	linxtcp
Locator/ID Separation Protocol	lisp
Locator/ID Separation Protocol (Data)	lisp-data
Locator/ID Separation Protocol (Reliable Transport)	lisp-tcp
Lithionics Battery Management System	lithionics_bms
X2 xIRI payload	xiri
DCE/RPC NCS 1.5.1 Local Location Broker	llb
Logical-Link Control	llc
Logical Link Control GPRS	llcgprs
Link Layer Discovery Protocol	lldp
Low Level Reader Protocol	llrp
ATSC3 Low Level Signalling	lls
Veritas Low Latency Transport (LLT)	llt
Link Layer Topology Discovery	lltd
Local Management Interface	lmi
Link Management Protocol (LMP)	lmp
Lustre Network	lnet
Local Number Portability Database Query	lnpdqp
Locamation Interface Module CALIBRATION	locamation-im.calibration
Locamation Interface Module IDENT	locamation-im.ident
Locamation Interface Module SAMPLES - IM1	locamation-im.samples.im1
Locamation Interface Module SAMPLES - IM2R0	locamation-im.samples.im2r0
3GPP log packet	log3gpp
Android Logcat	logcat
Android Logcat Text	logcat_text
Logotype Certificate Extensions	logotypecertextn
Local Operating Network	lon
Configuration Test Protocol (loopback)	loop
LoRaTap header	loratap
LoRaWAN Protocol	lorawan
Line Printer Daemon Protocol	lpd
LTE Positioning Protocol (LPP)	lpp
LTE Positioning Protocol A (LPPa)	lppa
LTE Positioning Protocol Extensions (LLPe)	lppe
Pegasus Lightweight Stream Control	lsc
Local Service Discovery	lsd
LTE Radio Resource Control (RRC) protocol	lte_rrc
Licklider Transmission Protocol	ltp
Lustre	lustre
LWAPP Encapsulated Packet	lwapp
LWAPP Layer 3 Packet	lwapp-l3
LWAPP Control Message	lwapp-cntl
Lightweight Mesh (v1.1.1)	lwm
Lightweight M2M TLV	lwm2mtlv
Light Weight DNS RESolver (BIND9)	lwres
M2 Application Protocol	m2ap
MTP2 Peer Adaptation Layer	m2pa
MTP 2 Transparent Proxy	m2tp
MTP 2 User Adaptation Layer	m2ua
M3 Application Protocol	m3ap
MTP 3 User Adaptation Layer	m3ua
IEEE 1722 MAAP Protocol	maap
MAC-LTE	mac-lte
mac-lte-framed	mac-lte-framed
MAC-NR	mac-nr
MAC Control	macc
802.1AE Security tag	macsec
MikroTik MAC-Telnet Protocol	mactelnet
Blubster/Piolet MANOLITO Protocol	manolito
Marker	marker
Matter	matter
Media Agnostic USB	mausb
Mobile Broadband Interface Model	mbim
.NET Message Framing Protocol	mc-nmf
Miscabling Protocol	mcp
Minecraft Pocket Edition	mcpe
MCTP	mctp
MCTP Control Protocol	mctpc
Multi-Drop Bus	mdb
Meraki Discovery Protocol	mdp
MDS Header	mdshdr
Media Type	media
MEGACO	megaco
Memcache Protocol	memcache
Mesh Header	mesh
Message Analyzer WFP Capture v4	message_analyzer.wfp_capture.v4
Message Analyzer WFP Capture2 v4	message_analyzer.wfp_capture2.v4
Message Analyzer WFP Capture v6	message_analyzer.wfp_capture.v6
Message Analyzer WFP Capture2 v6	message_analyzer.wfp_capture2.v6
Message Analyzer WFP Capture AUTH v4	message_analyzer.wfp_capture.auth.v4
Message Analyzer WFP Capture AUTH v6	message_analyzer.wfp_capture.auth.v6
ETW WFP Capture	etw.wfp_capture
ETW Ndis	etw.ndis
Media Type: message/http	message-http
Metadata	meta
Metamako ethernet trailer	metamako
Media Gateway Control Protocol	mgcp
DCE/RPC Remote Management	mgmt
NXP MiFare	mifare
Media-Independent Handover	mih
Multimedia Internet KEYing	mikey
Cisco FabricPath	cfp
MIME file	mime_dlt
Media Independent Network Transport	mint
Media Independent Network Transport Data	mint_data
Unreliable Multicast Inter-ORB Protocol	miop
Mobile IP	mip
Mobile IPv6	mipv6
MIPv6 Option - Pad1	mip6.options.pad1
MIPv6 Option - PadN	mip6.options.padn
MIPv6 Option - Binding Refresh Advice	mip6.options.bra
MIPv6 Option - Alternate Care-of Address	mip6.options.acoa
MIPv6 Option - Nonce Indices	mip6.options.ni
MIPv6 Option - Authorization Data	mip6.options.bad_auth
MIPv6 Option - Mobile Network Prefix	mip6.options.mnp
MIPv6 Option - Mobility Header Link-Layer Address	mip6.options.mhlla
MIPv6 Option - Mobile Node Identifier	mip6.options.mnid
MIPv6 Option - AUTH-OPTION-TYPE	mip6.options.auth
MIPv6 Option - MESG-ID-OPTION-TYPE	mip6.options.mseg_id
MIPv6 Option - CGA Parameters Request	mip6.options.cgapr
MIPv6 Option - CGA Parameters	mip6.options.cgar
MIPv6 Option - Signature	mip6.options.sign
MIPv6 Option - Permanent Home Keygen Token	mip6.options.phkt
MIPv6 Option - Care-of Test Init	mip6.options.coti
MIPv6 Option - Care-of Test	mip6.options.cot
MIPv6 Option - DNS-UPDATE-TYPE	mip6.options.dnsu
MIPv6 Option - Experimental	mip6.options.em
MIPv6 Option - Vendor Specific	mip6.options.vsm
MIPv6 Option - Service Selection	mip6.options.ssm
MIPv6 Option - Binding Authorization Data for FMIPv6 (BADF)	mip6.options.badff
MIPv6 Option - Home Network Prefix	mip6.options.hnp
MIPv6 Option - Handoff Indicator	mip6.options.hi
MIPv6 Option - Access Technology Type Option	mip6.options.att
MIPv6 Option - Mobile Node Link-layer Identifier	mip6.options.mnlli
MIPv6 Option - Link-local Address	mip6.options.lla
MIPv6 Option - Timestamp	mip6.options.ts
MIPv6 Option - Restart Counter	mip6.options.rc
MIPv6 Option - IPv4 Home Address	mip6.options.ipv4ha
MIPv6 Option - IPv4 Address Acknowledgement	mip6.options.ipv4aa
MIPv6 Option - NAT Detection	mip6.options.natd
MIPv6 Option - IPv4 Care-of Address	mip6.options.ipv4coa
MIPv6 Option - GRE Key	mip6.options.grek
MIPv6 Option - Mobility Header IPv6 Address/Prefix	mip6.options.mhipv6ap
MIPv6 Option - Binding Identifier	mip6.options.bi
MIPv6 Option - IPv4 Home Address Request	mip6.options.ipv4hareq
MIPv6 Option - IPv4 Home Address Reply	mip6.options.ipv4harep
MIPv6 Option - IPv4 Default-Router Address	mip6.options.ipv4dra
MIPv6 Option - IPv4 DHCP Support Mode	mip6.options.ipv4dsm
MIPv6 Option - Context Request	mip6.options.cr
MIPv6 Option - Mobile Node Link-local Address Interface Identifier	mip6.options.lmaa
MIPv6 Option - Redirect-Capability	mip6.options.recap
MIPv6 Option - Redirect	mip6.options.redir
MIPv6 Option - Load Information	mip6.options.load_inf
MIPv6 Option - Alternate IPv4	mip6.options.alt_ip4
MIPv6 Option - Mobile Node Group Identifier	mip6.options.mng
MIPv6 Option - MAG IPv6 Address	mip6.options.mag_ipv6
MIPv6 Option - Access Network Identifier	mip6.options.acc_net_id
MIPv6 Option - Delegated Mobile Network Prefix	mip6.options.dmnp
MACsec Key Agreement	mka
Mesh Link Establishment	mle
MMS	mms
MMS Message Encapsulation	mmse
Mikrotik Neighbor Discovery Protocol	mndp
Modbus/TCP	mbtcp
Modbus/UDP	mbudp
Modbus RTU	mbrtu
Modbus	modbus
Mojito DHT	mojito
MoldUDP	moldudp
MoldUDP64	moldudp64
Mongo Wire Protocol	mongo
Mount Service	mount
SGI Mount Service	sgimount
PPP Multilink Protocol	mp
ISO/IEC 13818-1	mp2t
MP4 / ISOBMFF file format	mp4
MP4V-ES	mp4v-es
iWARP Marker Protocol data unit Aligned framing	iwarp_mpa
RFC 2250 MPEG1	mpeg1
Moving Picture Experts Group Audio	mpeg-audio
MPEG2 Conditional Access Table	mpeg_ca
MPEG2 Descriptors	mpeg_descr
MPEG2 Program Association Table	mpeg_pat
Moving Picture Experts Group	mpeg
Packetized Elementary Stream	mpeg-pes
MPEG2 Program Map Table	mpeg_pmt
MPEG2 Section	mpeg_sect
MultiProtocol Label Switching Header	mpls
PW Associated Channel Header	pwach
PW MPLS Control Word (generic/preferred)	pwmcw
Management Communication Channel (MCC)	mcc
Multiprotocol Label Switching Echo	mpls-echo
Media Access Control (MAC) Address Withdrawal over Static Pseudowire	mpls_mac
MPLS Direct Loss Measurement (DLM)	mplspmdlm
MPLS Inferred Loss Measurement (ILM)	mplspmilm
MPLS Delay Measurement (DM)	mplspmdm
MPLS Direct Loss and Delay Measurement (DLM+DM)	mplspmdlmdm
MPLS Inferred Loss and Delay Measurement (ILM+DM)	mplspmilmdm
PSC	mpls_psc
MPLS ITU-T Y.1711 OAM	mpls_y1711
PPP MPLS Control Protocol	mplscp
